City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Waiuku,NZ,77.99,clear sky,-37.25,174.75,Waiuku Lodge Motel
94,Mancio Lima,BR,84.27,moderate rain,-7.6142,-72.8958,Motel Asas Do Desejo
95,Iseyin,NG,79.2,overcast clouds,7.9667,3.6,Momak Hotels And Suites
96,Sola,VU,83.1,overcast clouds,-13.8833,167.55,Leumerus Bungalows
97,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
98,Cairns,AU,80.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
99,Ternate,ID,78.85,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
100,Tautira,PF,86.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
101,Maryborough,AU,81.1,scattered clouds,-25.5333,152.7,Blue Shades Motel
102,Neiafu,TO,82.56,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
103,Nelson Bay,AU,80.1,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
104,Nabire,ID,75.54,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
105,Batemans Bay,AU,76.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
106,Ballina,AU,77.18,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
107,Dicabisagan,PH,75.96,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
108,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
109,Dingle,PH,76.32,few clouds,10.9995,122.6711,SEGAYA PROPERTY
110,Ambulu,ID,76.66,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
111,Saint-Joseph,RE,75.56,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
112,Padang,ID,76.55,broken clouds,-0.9492,100.3543,Mercure Padang
113,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
114,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
115,Santa Rosa,PH,80.11,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
116,Hoi An,VN,75.16,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
117,Kirakira,SB,83.5,overcast clouds,-10.4544,161.9205,SanBiz Lodge
118,Tual,ID,82.42,light rain,-5.6667,132.75,Grand Vilia Hotel
119,Montevideo,UY,77.83,clear sky,-34.8335,-56.1674,KOLPING Hotel
120,Santa Maria,BR,76.3,few clouds,-29.6842,-53.8069,Hotel Morotin
121,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
122,Ewa Beach,US,80.6,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
123,Baki,ID,75.61,overcast clouds,-7.6128,110.7839,Rumah Batu Boutique Hotel
124,Biak,ID,77.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
125,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
126,Bocas Del Toro,PA,81.07,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
127,Bela Vista De Goias,BR,76.35,overcast clouds,-16.9728,-48.9533,Victoria Palace Hotel
128,Teahupoo,PF,80.56,broken clouds,-17.8333,-149.2667,Vanira Lodge
129,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
130,Itarema,BR,78.53,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
131,Jacqueville,CI,82.31,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
132,Victoria Point,AU,84.18,broken clouds,-27.5833,153.3,Bay Retreat Motel
133,Gorontalo,ID,75.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
134,Bonthe,SL,78.67,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
135,Caravelas,BR,78.82,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
136,Salvador,SV,79.2,broken clouds,13.8333,-88.9167,Chico's Ranch
137,San Francisco De Macoris,DO,84.88,broken clouds,19.2952,-70.2554,Hotel Las Caobas
138,San Pedro,PH,79.36,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
139,Emerald,AU,80.74,few clouds,-23.5333,148.1667,The Irish Village
140,Vanimo,PG,77.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
141,West Bay,KY,76.06,broken clouds,19.3667,-81.4167,Calypso Cove
142,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
143,Sinnamary,GF,76.6,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
144,Port Macquarie,AU,80.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
145,Siocon,PH,77.95,overcast clouds,7.7061,122.1353,ABS Hotel
146,Severiano Melo,BR,75.31,overcast clouds,-5.7772,-37.9578,Chácara Bela Vista
147,Katobu,ID,77.97,overcast clouds,-4.9408,122.5276,La Ode Husein
148,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
149,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,Osprey Beach Hotel
150,Calvinia,ZA,81.09,clear sky,-31.4707,19.776,Die Lemoenhuis
151,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
152,Kattivakkam,IN,79.07,scattered clouds,13.2167,80.3167,Euronova Freezer
153,Biloela,AU,83.68,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
154,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
155,Keffi,NG,75.58,overcast clouds,8.8486,7.8736,Imam Family
156,Catuday,PH,77.49,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
157,Port Blair,IN,75.81,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
158,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
159,Labuhan,ID,78.08,overcast clouds,-6.8844,112.2051,DoubleFAG
160,Jardim,BR,81.34,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
161,Muisne,EC,80.71,light rain,0.6,-80.0333,Quinta Samay
162,Kencong,ID,76.1,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
163,Juba,SS,76.32,clear sky,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
164,Viedma,AR,82.18,scattered clouds,-40.8135,-62.9967,Hotel Cristal
165,Sao Jose Da Coroa Grande,BR,76.21,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
166,Fayaoue,NC,82.38,light rain,-20.65,166.5333,Chez Dydyce Guesthouse
167,Lima,PE,75.38,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
168,Bubaque,GW,78.62,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
169,Anloga,GH,80.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
170,Concordia,AR,76.87,clear sky,-31.393,-58.0209,Palmar Hotel Casino
171,Moron,AR,82.92,broken clouds,-34.6534,-58.6198,Hotel Morón
172,Wewak,PG,78.76,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
173,Roebourne,AU,83.34,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
174,Terenos,BR,78.51,broken clouds,-20.4422,-54.8603,Rancho Pitzer
175,Soyo,AO,78.55,light rain,-6.1349,12.3689,Hotel Mpampa
176,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
177,Port Augusta,AU,83.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
178,Saint-Paul,RE,77.09,broken clouds,-21.0096,55.2707,Boucan Canot
179,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
180,Tomatlan,MX,83.39,clear sky,19.9333,-105.25,El Salvial
181,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
182,Villa Maria,AR,80.82,clear sky,-32.4075,-63.2402,Hotel Milenium
183,Davila,PH,75.18,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
