City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Laguna,US,2022-01-21 03:38:20,38.421,-121.4238,57.02,84,0,0.0
95,Hambantota,LK,2022-01-21 03:38:21,6.1241,81.1185,77.34,88,20,4.61
96,Ginda,IN,2022-01-21 03:38:21,30.6945,78.4932,45.77,35,23,0.76
97,Kabwe,ZM,2022-01-21 03:38:22,-14.4469,28.4464,62.53,97,99,3.89
98,Caravelas,BR,2022-01-21 03:38:22,-17.7125,-39.2481,74.21,92,4,2.73
99,Georgetown,MY,2022-01-21 03:36:02,5.4112,100.3354,86.9,66,20,7.0
100,Flin Flon,CA,2022-01-21 03:38:23,54.7682,-101.865,13.14,91,100,12.1
101,Cabo San Lucas,MX,2022-01-21 03:36:35,22.8909,-109.9124,72.52,66,75,3.44
102,Kahului,US,2022-01-21 03:33:41,20.8947,-156.47,78.82,74,40,5.75
103,Pascagoula,US,2022-01-21 03:38:24,30.3658,-88.5561,41.05,87,100,17.27
104,Sawakin,SD,2022-01-21 03:38:25,19.1059,37.3321,67.66,65,100,16.11
105,Barrow,US,2022-01-21 03:38:25,71.2906,-156.7887,-23.78,76,40,0.0
106,Touros,BR,2022-01-21 03:38:26,-5.1989,-35.4608,79.7,75,60,8.19
107,Port Hedland,AU,2022-01-21 03:38:26,-20.3167,118.5667,93.25,66,3,14.97
108,Bac Lieu,VN,2022-01-21 03:33:50,9.285,105.7244,83.44,61,89,12.28
109,Castro,BR,2022-01-21 03:36:30,-24.7911,-50.0119,63.97,90,59,2.01
110,Jamestown,US,2022-01-21 03:38:27,42.097,-79.2353,12.72,85,100,9.22
111,Vardo,NO,2022-01-21 03:38:28,70.3705,31.1107,25.0,70,98,28.66
112,Muros,ES,2022-01-21 03:38:28,42.7762,-9.0603,50.09,68,0,16.82
113,Nikolskoye,RU,2022-01-21 03:38:28,59.7035,30.7861,30.09,97,96,4.59
114,Yekaterinoslavka,RU,2022-01-21 03:38:29,50.3734,129.1139,-4.7,89,24,3.2
115,Balikpapan,ID,2022-01-21 03:38:29,-1.2675,116.8289,79.79,83,20,9.22
116,Digoin,FR,2022-01-21 03:38:30,46.4812,3.9795,35.13,83,0,8.05
117,Acapulco,MX,2022-01-21 03:33:36,16.8634,-99.8901,80.42,74,20,5.75
118,Tura,IN,2022-01-21 03:38:30,25.5198,90.2201,64.54,62,14,2.53
119,Tual,ID,2022-01-21 03:38:31,-5.6667,132.75,81.68,81,87,17.52
120,Berlevag,NO,2022-01-21 03:38:31,70.8578,29.0864,27.39,72,100,25.39
121,Morehead,US,2022-01-21 03:38:32,37.2711,-87.1764,24.51,75,94,1.99
122,Hillsboro,US,2022-01-21 03:37:13,45.5229,-122.9898,47.91,84,75,10.36
123,Upernavik,GL,2022-01-21 03:38:33,72.7868,-56.1549,-4.09,90,100,12.21
124,Qaanaaq,GL,2022-01-21 03:38:33,77.484,-69.3632,5.23,93,99,5.84
125,San Quintin,MX,2022-01-21 03:34:43,30.4833,-115.95,61.11,58,0,3.11
126,Leningradskiy,RU,2022-01-21 03:38:34,69.3833,178.4167,-31.92,91,5,4.47
127,Gornopravdinsk,RU,2022-01-21 03:38:35,60.05,69.9,14.4,91,100,8.68
128,Singkang,MY,2022-01-21 03:38:35,2.1006,102.7994,84.09,55,42,6.29
129,Bilma,NE,2022-01-21 03:38:35,18.6853,12.9164,51.15,28,0,5.61
130,Beringovskiy,RU,2022-01-21 03:38:36,63.05,179.3167,-15.48,78,6,13.96
131,Bluff,NZ,2022-01-21 03:38:37,-46.6,168.3333,57.79,75,99,18.63
132,Ponta Do Sol,PT,2022-01-21 03:38:37,32.6667,-17.1,66.83,81,80,15.08
133,Esperance,AU,2022-01-21 03:38:37,-33.8667,121.9,78.64,56,0,15.95
134,Sinnamary,GF,2022-01-21 03:38:38,5.3833,-52.95,76.66,90,77,11.88
135,Baherden,TM,2022-01-21 03:38:38,38.4362,57.4316,38.64,75,99,15.28
136,Trincomalee,LK,2022-01-21 03:38:39,8.5711,81.2335,76.03,65,100,1.14
137,Flinders,AU,2022-01-21 03:38:39,-34.5833,150.8552,74.21,66,74,9.13
138,Olafsvik,IS,2022-01-21 03:38:40,64.8945,-23.7142,44.26,93,100,39.03
139,Barinitas,VE,2022-01-21 03:39:40,8.7622,-70.4111,85.48,59,12,5.19
